epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8302,1.47683,4.04197,1.2891,0.00313,0.40141,0.09842,0.07572,1.58072,5.34856,1.57126,0.00010003,0.00010003,0.00010003
2,77.9105,1.33557,3.16696,1.19999,0.00404,0.63731,0.20858,0.15952,1.34113,4.19106,1.23151,0.000210106,0.000210106,0.000210106
3,115.909,1.12256,1.95282,1.01371,0.00402,0.6912,0.27572,0.21971,1.44088,4.1709,1.18878,0.000315655,0.000315655,0.000315655
4,153.645,1.05929,1.71707,1.01813,0.00426,0.73906,0.35735,0.2327,1.4023,4.17784,1.11815,0.000416676,0.000416676,0.000416676
5,191.5,1.05476,1.63804,1.02224,0.94272,0.21465,0.54263,0.41084,1.58283,4.2968,1.19826,0.000513171,0.000513171,0.000513171
6,229.644,1.01926,1.43835,0.9882,0.00417,0.73253,0.57692,0.45,1.47286,3.82909,1.19594,0.000605139,0.000605139,0.000605139
7,267.359,1.01378,1.37859,1.00894,1,0.08497,0.48967,0.29476,1.88397,3.87918,1.29393,0.000692579,0.000692579,0.000692579
8,305.078,1.06717,1.33866,1.01311,0.96228,0.31824,0.64289,0.45418,1.51256,3.54054,1.37883,0.000775493,0.000775493,0.000775493
9,343.757,0.96483,1.25945,0.94968,0.78775,0.38457,0.74759,0.53336,1.53323,3.27132,1.48485,0.000853879,0.000853879,0.000853879
10,381.662,1.03528,1.26697,0.99968,0.80386,0.35073,0.59776,0.44693,1.41859,3.20671,1.30959,0.000927738,0.000927738,0.000927738
11,419.241,0.96419,1.23972,0.98793,0.76112,0.32809,0.6421,0.4115,1.62848,3.04084,1.50497,0.00099707,0.00099707,0.00099707
12,456.777,1.05778,1.23002,0.99624,0.48139,0.65388,0.64868,0.49743,1.22032,2.89825,1.30714,0.00106188,0.00106188,0.00106188
13,494.296,0.96675,1.17931,0.98935,0.39231,0.69644,0.59898,0.4196,1.43321,2.82265,1.21605,0.00108947,0.00108947,0.00108947
14,531.905,0.93865,1.19386,0.98281,0.5565,0.74801,0.76941,0.53492,1.26644,2.26965,1.11389,0.00106118,0.00106118,0.00106118
15,569.442,0.97231,1.20404,1.01008,0.72767,0.85049,0.89751,0.65145,1.22411,2.30843,1.07084,0.00103288,0.00103288,0.00103288
16,607.001,0.94336,1.07521,0.95719,0.79105,0.83402,0.88435,0.56901,1.82559,2.68713,1.45077,0.00100459,0.00100459,0.00100459
17,644.558,0.94213,1.03897,0.94574,0.82286,0.8751,0.91967,0.67558,1.59227,2.27894,1.26814,0.000976293,0.000976293,0.000976293
18,682.375,0.88697,1.09855,0.95864,0.8676,0.87779,0.93979,0.6558,1.11505,1.88614,1.14049,0.000947999,0.000947999,0.000947999
