epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9232,1.44288,3.94589,1.22499,0.00403,0.47475,0.0945,0.06929,1.07804,3.91716,0.97546,0.0001625,0.0001625,0.0001625
2,197.1,1.27578,2.42045,1.0456,0.00542,0.56405,0.22386,0.14554,1.02597,3.5442,0.91073,0.000337333,0.000337333,0.000337333
3,295.311,1.20824,1.85729,1.03093,0.88327,0.01403,0.24359,0.15518,1.07843,3.47942,0.92577,0.000511993,0.000511993,0.000511993
4,417.351,1.17869,1.60199,1.01115,0.88007,0.13703,0.38003,0.24687,1.1177,3.30733,0.96273,0.000686479,0.000686479,0.000686479
5,500.735,1.12541,1.45785,1.00585,0.58439,0.30025,0.42163,0.27823,1.11592,2.92949,0.98813,0.000860792,0.000860792,0.000860792
6,583.419,1.07652,1.40254,0.99402,0.69836,0.47119,0.6399,0.42761,1.10141,2.65822,0.97734,0.00103493,0.00103493,0.00103493
7,664.359,1.11537,1.32676,0.99844,0.66951,0.67597,0.74734,0.52293,0.98592,1.96655,0.94551,0.0012089,0.0012089,0.0012089
8,744.989,1.10584,1.34519,1.01536,0.84231,0.61803,0.87546,0.57121,1.09056,1.83069,0.99381,0.00124567,0.00124567,0.00124567
9,825.378,1.0859,1.26201,0.9866,0.73353,0.70871,0.82296,0.55381,1.09723,1.68517,0.98401,0.00124505,0.00124505,0.00124505
10,906.027,1.05327,1.18182,0.99448,0.66481,0.81585,0.84465,0.59322,0.99441,1.57415,0.93154,0.00124443,0.00124443,0.00124443
11,986.607,1.08945,1.17366,0.99831,0.6797,0.78312,0.76534,0.51056,0.94989,1.67471,0.9267,0.00124381,0.00124381,0.00124381
12,1066.97,1.05895,1.17211,0.98473,0.7075,0.86523,0.86647,0.60446,0.97439,1.2616,0.93869,0.00124319,0.00124319,0.00124319
13,1147.57,1.07977,1.13991,1.00486,0.71582,0.85041,0.88318,0.62591,0.88974,1.34417,0.91004,0.00124257,0.00124257,0.00124257
14,1228.01,1.01956,1.04991,0.96791,0.77698,0.85493,0.92906,0.67347,0.90168,1.17251,0.90719,0.00124196,0.00124196,0.00124196
15,1308.55,0.97611,0.95854,0.95676,0.9363,0.83414,0.95039,0.65797,0.94977,1.02695,0.92827,0.00124134,0.00124134,0.00124134
