epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.35811,1.45146,4.15997,1.2119,0.00295,0.36277,0.04355,0.0293,1.10437,3.72757,0.9748,0.000125,0.000125,0.000125
2,4.00125,1.26106,2.99961,1.09303,0.00441,0.51623,0.2286,0.16993,0.94111,3.47957,0.87387,0.00026198,0.00026198,0.00026198
3,5.64659,1.2061,1.98781,1.0031,0.70815,0.1543,0.20969,0.14827,0.9576,3.32204,0.88956,0.000398416,0.000398416,0.000398416
4,7.29338,1.15584,1.77945,1.02433,0.83856,0.17305,0.32076,0.23369,0.9622,3.18192,0.89085,0.000534307,0.000534307,0.000534307
5,8.96159,1.13422,1.49678,1.00205,0.77995,0.19162,0.33138,0.20728,1.07256,3.30199,0.99299,0.000669654,0.000669654,0.000669654
6,10.5641,1.10866,1.4151,0.99105,0.81627,0.16853,0.47507,0.32276,1.04957,2.83161,0.9473,0.000804456,0.000804456,0.000804456
7,12.1455,1.17858,1.41201,0.98737,0.76454,0.1567,0.54225,0.31211,1.102,2.7707,0.95342,0.000938714,0.000938714,0.000938714
8,13.7792,1.07666,1.30079,0.9756,0.58449,0.51155,0.66052,0.47406,0.99383,2.17264,0.91401,0.00107243,0.00107243,0.00107243
9,15.5127,1.07178,1.21908,0.98524,0.64837,0.4657,0.63478,0.46769,1.00852,2.55317,0.93582,0.0012056,0.0012056,0.0012056
10,17.1175,1.09517,1.21252,0.9886,0.65487,0.73179,0.78483,0.51576,1.04077,1.61742,0.93942,0.00122773,0.00122773,0.00122773
11,18.7251,1.0701,1.17614,0.98448,0.67955,0.75726,0.79002,0.55276,0.97043,1.32438,0.91182,0.00122525,0.00122525,0.00122525
12,20.3012,0.97135,1.12572,0.96854,0.63411,0.75039,0.80878,0.62735,0.85812,1.45315,0.87967,0.00122277,0.00122277,0.00122277
