epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.978,1.31553,1.9475,0.91586,0.01337,0.86871,0.25262,0.19308,1.147,2.95231,0.88842,0.000653333,0.000653333,0.000653333
2,653.509,1.20608,1.0685,0.89806,0.96204,0.63786,0.89977,0.56604,1.14507,1.76043,0.92345,0.00127644,0.00127644,0.00127644
3,952.484,1.23306,0.99287,0.90095,0.92052,0.84896,0.91559,0.57945,1.10593,0.9502,0.90744,0.00185555,0.00185555,0.00185555
4,1258.6,1.17014,0.83318,0.89241,0.87208,0.88016,0.92411,0.61244,1.0417,0.74934,0.90447,0.001802,0.001802,0.001802
5,1564.24,1.16964,0.77128,0.89007,0.92971,0.88277,0.93994,0.58513,1.10068,0.69716,0.91166,0.001736,0.001736,0.001736
6,1869.87,1.10219,0.70032,0.87329,0.94211,0.89027,0.9402,0.61775,1.01588,0.62056,0.89598,0.00167,0.00167,0.00167
7,2175.29,1.13117,0.6815,0.88797,0.93288,0.91232,0.94866,0.62106,1.02444,0.61725,0.90044,0.001604,0.001604,0.001604
8,2480.58,1.10743,0.62632,0.88238,0.94475,0.90919,0.9614,0.6411,1.00922,0.5612,0.89681,0.001538,0.001538,0.001538
9,2787.17,1.08801,0.6091,0.87275,0.93749,0.89934,0.94529,0.63887,1.02337,0.5452,0.89825,0.001472,0.001472,0.001472
10,3093.46,1.06346,0.57079,0.86116,0.94652,0.89934,0.96227,0.66132,1.0194,0.52176,0.89232,0.001406,0.001406,0.001406
11,3399.2,1.06636,0.55944,0.86823,0.938,0.91032,0.94638,0.64293,0.98539,0.54045,0.8901,0.00134,0.00134,0.00134
12,3704.44,1.02343,0.55137,0.86805,0.94652,0.90372,0.96126,0.66066,0.99687,0.52239,0.89127,0.001274,0.001274,0.001274
13,4009.58,1.03348,0.55235,0.86165,0.9332,0.91705,0.96105,0.66318,0.97815,0.51275,0.88546,0.001208,0.001208,0.001208
14,4314.68,1.03424,0.53502,0.86142,0.95128,0.91685,0.966,0.66206,1.01116,0.49571,0.89352,0.001142,0.001142,0.001142
15,4619.85,1.029,0.53468,0.86541,0.95134,0.91575,0.96717,0.66587,0.97207,0.4939,0.88517,0.001076,0.001076,0.001076
16,4925.18,1.01221,0.52338,0.86714,0.9402,0.92123,0.96652,0.66552,0.97306,0.49211,0.88287,0.00101,0.00101,0.00101
17,5231.38,1.00987,0.51352,0.8634,0.93161,0.91357,0.94427,0.64701,0.98971,0.48809,0.89143,0.000944,0.000944,0.000944
18,5537.43,0.97988,0.49262,0.85242,0.93137,0.93217,0.95978,0.67327,0.94571,0.45884,0.87926,0.000878,0.000878,0.000878
19,5843.16,0.99593,0.50451,0.85572,0.95035,0.92013,0.96154,0.66425,0.97861,0.48546,0.88752,0.000812,0.000812,0.000812
20,6149.64,0.97943,0.49557,0.85439,0.94382,0.91902,0.9637,0.67283,0.94878,0.46026,0.88207,0.000746,0.000746,0.000746
21,6452.76,0.95728,0.47751,0.85549,0.9647,0.86705,0.94644,0.66342,0.98977,0.48554,0.88847,0.00068,0.00068,0.00068
22,6755.71,0.98525,0.4826,0.85498,0.93891,0.92888,0.96788,0.67244,0.96858,0.46158,0.88393,0.000614,0.000614,0.000614
23,7058.62,0.96188,0.47976,0.8505,0.94032,0.89934,0.95658,0.66519,1.00561,0.46474,0.89057,0.000548,0.000548,0.000548
24,7361.17,0.95536,0.46644,0.85212,0.9486,0.92881,0.96377,0.68042,0.9611,0.45342,0.88166,0.000482,0.000482,0.000482
25,7663.94,0.94716,0.4619,0.84167,0.96217,0.89057,0.95286,0.66644,0.9838,0.45882,0.88746,0.000416,0.000416,0.000416
26,7966.17,0.9349,0.44999,0.85245,0.95099,0.91357,0.96612,0.68113,0.98324,0.44792,0.88361,0.00035,0.00035,0.00035
27,8268.48,0.93242,0.44019,0.8495,0.94121,0.92831,0.97088,0.68997,0.94188,0.43545,0.87808,0.000284,0.000284,0.000284
28,8570.78,0.917,0.43118,0.84643,0.9471,0.92065,0.96067,0.68367,0.94272,0.43149,0.87838,0.000218,0.000218,0.000218
29,8873.23,0.91681,0.43436,0.84499,0.94893,0.91487,0.96053,0.68442,0.95448,0.43338,0.87928,0.000152,0.000152,0.000152
30,9175.37,0.90722,0.42507,0.83515,0.94851,0.91357,0.96202,0.68486,0.9576,0.42538,0.88018,8.6e-05,8.6e-05,8.6e-05
