epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,695.579,1.20653,1.36188,0.90841,0.9156,0.91904,0.94457,0.60022,1.09235,1.19748,0.92521,0.000653333,0.000653333,0.000653333
2,1348.18,1.14621,0.67084,0.90126,0.92341,0.89716,0.93328,0.59012,1.13148,0.66693,0.95019,0.00130693,0.00130693,0.00130693
3,2023.74,1.18516,0.65891,0.9098,0.91203,0.89059,0.93231,0.56407,1.15567,0.69922,0.96115,0.00194733,0.00194733,0.00194733
4,2703.76,1.18042,0.64305,0.90819,0.93291,0.90263,0.93379,0.59029,1.08476,0.6232,0.92025,0.0019406,0.0019406,0.0019406
5,3378.99,1.13387,0.61818,0.89448,0.9551,0.90776,0.95169,0.60884,1.09821,0.59296,0.92883,0.0019208,0.0019208,0.0019208
6,4058.25,1.10178,0.56574,0.88461,0.9495,0.91904,0.96443,0.64351,1.00915,0.5265,0.90802,0.001901,0.001901,0.001901
7,4732.64,1.10281,0.56436,0.89269,0.94435,0.89126,0.95586,0.63427,1.056,0.56145,0.92442,0.0018812,0.0018812,0.0018812
8,5394.26,1.12246,0.56745,0.89931,0.95334,0.89421,0.94811,0.63634,1.03424,0.6284,0.91189,0.0018614,0.0018614,0.0018614
9,6049.48,1.08799,0.54711,0.88501,0.93261,0.93545,0.96826,0.65622,1.08036,0.53359,0.92727,0.0018416,0.0018416,0.0018416
10,6709.14,1.06295,0.54154,0.8738,0.95274,0.9263,0.96605,0.65491,1.01175,0.51521,0.9062,0.0018218,0.0018218,0.0018218
11,7369.22,1.03855,0.51788,0.87136,0.93857,0.9194,0.95859,0.64445,0.99875,0.51351,0.90801,0.001802,0.001802,0.001802
12,8033.24,1.0361,0.52091,0.88067,0.95005,0.92451,0.96729,0.65548,1.02057,0.49515,0.91048,0.0017822,0.0017822,0.0017822
13,8698.21,1.04601,0.52898,0.87472,0.95751,0.91231,0.95581,0.65013,0.99179,0.51499,0.89905,0.0017624,0.0017624,0.0017624
14,9362.22,1.06023,0.53031,0.87453,0.95347,0.93764,0.97258,0.65599,1.07179,0.5099,0.91635,0.0017426,0.0017426,0.0017426
15,10022.9,1.06558,0.53818,0.8798,0.95333,0.91637,0.96034,0.65322,0.99476,0.50109,0.89929,0.0017228,0.0017228,0.0017228
16,10680.9,1.03812,0.52039,0.88304,0.95715,0.92866,0.96754,0.66612,0.9784,0.47412,0.89815,0.001703,0.001703,0.001703
17,11340.9,1.02276,0.50549,0.87474,0.94627,0.9442,0.97169,0.67235,0.97311,0.48318,0.89778,0.0016832,0.0016832,0.0016832
18,11997.6,1.00164,0.49437,0.86393,0.96716,0.93457,0.9726,0.68023,0.98226,0.46917,0.89654,0.0016634,0.0016634,0.0016634
19,12655.8,1.01138,0.50171,0.86709,0.9315,0.92779,0.96203,0.66871,0.98319,0.47985,0.8976,0.0016436,0.0016436,0.0016436
20,13314.7,1.02367,0.4987,0.87268,0.94497,0.93936,0.97076,0.66771,0.9816,0.48258,0.89943,0.0016238,0.0016238,0.0016238
21,13972.7,1.00947,0.48988,0.8669,0.95202,0.94311,0.97345,0.67969,0.96899,0.45828,0.89722,0.001604,0.001604,0.001604
22,14633.8,0.99059,0.48949,0.86578,0.95175,0.93326,0.97004,0.66519,0.98438,0.47321,0.89789,0.0015842,0.0015842,0.0015842
23,15293.4,0.97776,0.4835,0.86192,0.95865,0.9442,0.97323,0.68996,0.97501,0.46028,0.9069,0.0015644,0.0015644,0.0015644
24,15956.7,0.99589,0.47657,0.86645,0.95099,0.93982,0.97112,0.67454,0.98293,0.47135,0.90709,0.0015446,0.0015446,0.0015446
25,16616.5,0.99112,0.48053,0.86652,0.95456,0.94227,0.97493,0.67649,0.99238,0.4624,0.90139,0.0015248,0.0015248,0.0015248
26,17274,0.99403,0.47147,0.86717,0.94858,0.93545,0.97245,0.68196,0.95459,0.4471,0.89451,0.001505,0.001505,0.001505
27,17930.8,1.01372,0.48504,0.86603,0.95025,0.93873,0.97208,0.67484,0.98412,0.46834,0.90493,0.0014852,0.0014852,0.0014852
28,18586.6,0.98804,0.47223,0.863,0.94585,0.93634,0.97261,0.68673,0.95301,0.45815,0.89566,0.0014654,0.0014654,0.0014654
29,19244.9,0.95812,0.46843,0.86264,0.94419,0.93982,0.9711,0.6861,0.95157,0.4455,0.89607,0.0014456,0.0014456,0.0014456
30,19901.7,0.97392,0.45873,0.85513,0.95976,0.93982,0.97666,0.69357,0.95121,0.43361,0.89647,0.0014258,0.0014258,0.0014258
31,20558.5,0.95493,0.44134,0.85573,0.95585,0.9453,0.97419,0.68458,0.98013,0.45129,0.89999,0.001406,0.001406,0.001406
32,21219.9,0.96828,0.45786,0.85814,0.95027,0.95405,0.97236,0.6852,0.94738,0.43651,0.89335,0.0013862,0.0013862,0.0013862
33,21879,0.94488,0.44702,0.85791,0.95397,0.94092,0.97423,0.6737,0.98822,0.44954,0.89902,0.0013664,0.0013664,0.0013664
34,22540.7,0.97953,0.46949,0.8623,0.95963,0.93619,0.97526,0.70046,0.95284,0.43555,0.89165,0.0013466,0.0013466,0.0013466
35,23197.3,0.9647,0.46241,0.85519,0.9584,0.9267,0.9703,0.68907,0.95135,0.43965,0.89464,0.0013268,0.0013268,0.0013268
36,23858.3,0.95123,0.45783,0.85693,0.94507,0.94748,0.96975,0.68407,0.98708,0.44041,0.89886,0.001307,0.001307,0.001307
37,24511.7,0.94037,0.4408,0.85488,0.95747,0.95295,0.97237,0.69295,0.95171,0.4348,0.89021,0.0012872,0.0012872,0.0012872
38,25166,0.93983,0.44799,0.85693,0.95121,0.95295,0.97432,0.69854,0.93559,0.42061,0.88892,0.0012674,0.0012674,0.0012674
39,25822.2,0.93861,0.44387,0.85149,0.95935,0.94858,0.97435,0.68773,0.94739,0.43417,0.89092,0.0012476,0.0012476,0.0012476
40,26477.6,0.93077,0.43641,0.85147,0.96606,0.93434,0.97315,0.69145,0.96027,0.43622,0.89144,0.0012278,0.0012278,0.0012278
41,27134.2,0.93072,0.44054,0.8534,0.95541,0.93982,0.97303,0.69079,0.95305,0.42767,0.89194,0.001208,0.001208,0.001208
42,27792.2,0.93212,0.43597,0.8469,0.95108,0.93654,0.96441,0.69578,0.9251,0.425,0.88817,0.0011882,0.0011882,0.0011882
43,28451,0.94631,0.44019,0.84602,0.95655,0.93946,0.9671,0.69448,0.95752,0.42676,0.89318,0.0011684,0.0011684,0.0011684
44,29108.2,0.92792,0.43448,0.84397,0.95986,0.9442,0.97276,0.69209,0.96183,0.42779,0.88862,0.0011486,0.0011486,0.0011486
45,29770.4,0.93045,0.43756,0.84935,0.96058,0.93873,0.97232,0.69765,0.95047,0.42833,0.88821,0.0011288,0.0011288,0.0011288
46,30427.9,0.92073,0.42906,0.85021,0.95994,0.94386,0.97166,0.69798,0.95122,0.42786,0.89039,0.001109,0.001109,0.001109
